iteration,learning_rate,success,test,db,tag
113,0.5,90.3685647312819,train,flue,shuffle
113,0.5,90.60919890439031,test,flue,shuffle
114,0.5,90.40353765311806,train,flue,shuffle
114,0.5,90.64430903012823,test,flue,shuffle
115,0.5,90.43835968341234,train,flue,shuffle
115,0.5,90.67904859159195,test,flue,shuffle
116,0.5,90.47302353963524,train,flue,shuffle
116,0.5,90.71339938180067,test,flue,shuffle
117,0.5,90.50752079927395,train,flue,shuffle
117,0.5,90.7473446592481,test,flue,shuffle
118,0.5,90.54184190419596,train,flue,shuffle
118,0.5,90.78086924579503,test,flue,shuffle
119,0.5,90.57597619251949,train,flue,shuffle
119,0.5,90.81395957674185,test,flue,shuffle
120,0.5,90.60991196242084,train,flue,shuffle
120,0.5,90.84660371216435,test,flue,shuffle
121,0.5,90.64363656898057,train,flue,shuffle
121,0.5,90.87879131758245,test,flue,shuffle
122,0.5,90.67713655171823,train,flue,shuffle
122,0.5,90.91051362065325,test,flue,shuffle
123,0.5,90.71039778738955,train,flue,shuffle
123,0.5,90.94176334917083,test,flue,shuffle
124,0.5,90.74340566036338,train,flue,shuffle
124,0.5,90.97253465445296,test,flue,shuffle
125,0.5,90.77614524172884,train,flue,shuffle
125,0.5,91.0028230233255,test,flue,shuffle
126,0.5,90.80860146829033,train,flue,shuffle
126,0.5,91.0326251813974,test,flue,shuffle
127,0.5,90.84075931366368,train,flue,shuffle
127,0.5,91.06193899008358,test,flue,shuffle
128,0.5,90.87260394551396,train,flue,shuffle
128,0.5,91.0907633397754,test,flue,shuffle
129,0.5,90.90412086520018,train,flue,shuffle
129,0.5,91.11909804155545,test,flue,shuffle
130,0.5,90.93529602833745,train,flue,shuffle
130,0.5,91.14694371981541,test,flue,shuffle
131,0.5,90.96611594672646,train,flue,shuffle
131,0.5,91.17430170800213,test,flue,shuffle
132,0.5,90.99656777352516,train,flue,shuffle
132,0.5,91.20117394947555,test,flue,shuffle
133,0.5,91.02663937434532,train,flue,shuffle
133,0.5,91.22756290513003,test,flue,shuffle
134,0.5,91.05631938717912,train,flue,shuffle
134,0.5,91.25347146904944,test,flue,shuffle
135,0.5,91.08559727379176,train,flue,shuffle
135,0.5,91.2789028930784,test,flue,shuffle
136,0.5,91.11446336462097,train,flue,shuffle
136,0.5,91.3038607208355,test,flue,shuffle
137,0.5,91.14290889846029,train,flue,shuffle
137,0.5,91.32834873139302,test,flue,shuffle
138,0.5,91.17092605743188,train,flue,shuffle
138,0.5,91.35237089260384,test,flue,shuffle
139,0.5,91.19850799708651,train,flue,shuffle
139,0.5,91.37593132386522,test,flue,shuffle
140,0.5,91.22564887098193,train,flue,shuffle
140,0.5,91.3990342679536,test,flue,shuffle
141,0.5,91.25234384881902,train,flue,shuffle
141,0.5,91.42168407142431,test,flue,shuffle
142,0.5,91.27858912715045,train,flue,shuffle
142,0.5,91.44388517293544,test,flue,shuffle
143,0.5,91.3043819317919,train,flue,shuffle
143,0.5,91.46564209871558,test,flue,shuffle
144,0.5,91.32972051131276,train,flue,shuffle
144,0.5,91.48695946425536,test,flue,shuffle
145,0.5,91.3546041213085,train,flue,shuffle
145,0.5,91.5078419811724,test,flue,shuffle
146,0.5,91.37903299951496,train,flue,shuffle
146,0.5,91.52829446809166,test,flue,shuffle
147,0.5,91.40300833217003,train,flue,shuffle
147,0.5,91.54832186431409,test,flue,shuffle
148,0.5,91.42653221233361,train,flue,shuffle
148,0.5,91.56792924502885,test,flue,shuffle
149,0.5,91.44960759112661,train,flue,shuffle
149,0.5,91.58712183686357,test,flue,shuffle
150,0.5,91.47223822302924,train,flue,shuffle
150,0.5,91.60590503266577,test,flue,shuffle
151,0.5,91.49442860649756,train,flue,shuffle
151,0.5,91.62428440455915,test,flue,shuffle
152,0.5,91.51618392121063,train,flue,shuffle
152,0.5,91.64226571450887,test,flue,shuffle
153,0.5,91.53750996326147,train,flue,shuffle
153,0.5,91.65985492184645,test,flue,shuffle
154,0.5,91.55841307955615,train,flue,shuffle
154,0.5,91.67705818742762,test,flue,shuffle
155,0.5,91.57890010259464,train,flue,shuffle
155,0.5,91.69388187431072,test,flue,shuffle
156,0.5,91.59897828667897,train,flue,shuffle
156,0.5,91.7103325450328,test,flue,shuffle
157,0.5,91.61865524643453,train,flue,shuffle
157,0.5,91.72641695571487,test,flue,shuffle
158,0.5,91.63793889834587,train,flue,shuffle
158,0.5,91.74214204733937,test,flue,shuffle
159,0.5,91.65683740580788,train,flue,shuffle
159,0.5,91.75751493460973,test,flue,shuffle
160,0.5,91.67535912798742,train,flue,shuffle
160,0.5,91.77254289282568,test,flue,shuffle
161,0.5,91.69351257259247,train,flue,shuffle
161,0.5,91.78723334319515,test,flue,shuffle
162,0.5,91.71130635247177,train,flue,shuffle
162,0.5,91.80159383696156,test,flue,shuffle
163,0.5,91.72874914582712,train,flue,shuffle
163,0.5,91.81563203866784,test,flue,shuffle
164,0.5,91.74584965973034,train,flue,shuffle
164,0.5,91.8293557088116,test,flue,shuffle
